rank,name,score,mumbers
567,×××HOLiC 仲夏夜之梦,7.7,809
568,福音战士新剧场版：Q,7.6,2505
569,南方公园 第7季,8.0,53
570,壳中少女 压缩,7.6,1044
571,头文字D,7.6,930
572,现视研 OVA,7.6,767
573,南方公园 第2季,7.9,71
574,犬夜叉,7.6,1643
575,高智能方程式：SAGA,7.7,194
576,妄想学生会＊,7.6,2674
577,乱马1/2,7.6,693
578,花开伊吕波 HOME SWEET HOME,7.6,1312
579,数码暴龙大冒险 滚球兽的诞生,7.6,487
580,阿松,7.6,1280
581,摸索吧！部活剧 再来一个,7.7,406
582,道子与哈金,7.6,524
583,探险活宝 第二季,7.9,69
584,幻想万华镜 华鸟风月,7.6,499
585,OTAKU的录像带,7.7,217
586,人形电脑天使心,7.6,2154
587,Fate/stay night [Unlimited Blade Works],7.6,4380
588,黑塔利亚,7.6,2003
589,西蒙,7.7,223
590,On Your Mark,7.7,406
591,妄想学生会 OAD,7.6,1768
592,南方公园 第8季,7.9,58
593,恶魔阿萨谢尔在召唤你,7.6,977
594,咱们裸熊,7.7,256
595,第四届东方M-1漫才大赛,7.7,241
596,空中杀手,7.6,1035
597,特别车队,8.0,53
598,迷糊餐厅,7.6,3272
599,机动武斗传G高达,7.6,425
600,科学超电磁炮,7.6,6105
601,空中秋千,7.6,450
602,宇宙战舰大和号2199 第一章「踏上遥远的征途」,7.7,159
603,天才麻将少女,7.6,2606
604,黑塔利亚 第5期,7.6,693
605,阿尔卑斯山的少女,7.8,88
606,黑衣警探,7.9,52
607,第三届东方M-1漫才大赛,7.8,111
608,名侦探柯南,7.6,2668
609,宇宙巡警露露子,7.6,1289
610,小魔女DoReMi ♯,7.7,131
611,蝙蝠侠：黑暗骑士归来（下）,7.8,74
612,南方公园 第4季,7.9,61
613,机动战士高达 剧场版II 哀・战士,7.7,174
614,宇宙战舰大和号2199 第二章「死战太阳系」,7.7,129
615,漆黑的射干 THE ANIMATION,7.7,203
616,奇幻旅程,7.9,59
617,逮捕令 OVA,7.8,85
618,咱们裸熊 第二季,7.8,82
619,月光旅程 -Touch down-,7.7,135
620,南方公园 第10季,7.9,60
621,星之声,7.6,1934
622,昭和元禄落语心中 OAD,7.6,350
623,岩窟王,7.6,439
624,海月姬,7.6,1042
625,少年犯之七人,7.6,695
626,少年正义联盟 第一季,7.9,63
627,飞跃巅峰！飞跃巅峰2！合体剧场版,7.7,144
628,茄子 安达鲁西亚之夏,7.7,157
629,花开伊吕波,7.6,5377
630,红白黑黄 第二季,7.6,918
631,我的青春恋爱物语果然有问题,7.6,4312
632,超时空要塞 ZERO,7.6,501
633,玩具总动员3,7.6,505
634,糖果男孩,7.6,743
635,坂道上的阿波罗,7.6,1855
636,终物语,7.6,1598
637,南方公园 第5季,7.9,58
638,父与女,7.7,119
639,妄想学生会 OVA,7.6,1376
640,水果篮子,7.6,1481
641,ZEGAPAIN,7.6,316
642,甜甜私房猫,7.6,725
643,少女与战车,7.6,2441
644,向阳素描,7.6,680
645,大都会,7.6,512
646,乐园追放 -Expelled From Paradise-,7.6,2080
647,空之境界 第六章 忘却录音,7.6,3009
648,金色的卡修,7.6,225
649,闪电十一人GO,7.7,161
650,监狱兔 第二季,7.6,485
651,空之境界,7.6,1129
652,NEW GAME!!,7.6,459
653,圣斗士星矢,7.6,966
654,祖先大人万万岁,7.8,92
655,灌篮高手 咆哮吧篮球员的灵魂！！花道和流川的灼热夏季,7.7,188
656,恋爱情结,7.6,436
657,灌篮高手 剧场版,7.6,227
658,现视研 二代目,7.6,1023
659,翼·年代记 东京默示录,7.6,656
660,飞翔的魔女,7.6,1428
661,苍之茧,7.6,541
662,剧场版 精灵宝可梦：水都的守护神 拉帝亚斯与拉帝欧斯,7.6,414
663,时光钟摆,7.8,71
664,危险调查员,7.8,59
665,中华一番！,7.6,1902
666,NO GAME NO LIFE 游戏人生,7.5,3889
667,向阳素描 特别篇,7.6,273
668,南方公园 第6季,7.8,56
669,Princess Principal,7.6,469
670,新机动战记高达W 无尽的华尔兹 剧场版,7.6,527
671,悠哉日常大王 Repeat OAD,7.6,340
672,逮捕令,7.6,639
673,亡念之扎姆德,7.6,701
674,冰雪奇缘,7.6,1359
675,月光旅程 -Lift off-,7.7,155
676,岁月的童话,7.6,547
677,东方梦想夏乡,7.6,1106
678,第六届东方M-1漫才大赛,7.7,139
679,凉宫春日酱的忧郁,7.6,2412
680,摇曳百合,7.5,3168
681,名侦探柯南 通往天国的倒数计时,7.6,1747
682,装甲骑兵 红肩队档案：野心的根源,7.8,53
683,迷糊餐厅 第三季,7.6,1489
684,编舟记,7.6,968
685,嘟嘟猫观察日记,7.6,676
686,NEW GAME!,7.5,2163
687,枪神,7.6,317
688,亚人 -冲动-,7.6,1015
689,星之梦～星之人～,7.6,465
690,日常 OAD,7.6,810
691,圣枪修女,7.6,792
692,蜡笔小新 决一胜负！逆袭的机器人爸爸,7.7,130
693,机动战士高达00,7.6,2388
694,CLANNAD ～AFTER STORY～另一个世界 杏篇,7.5,1883
695,言叶之庭,7.5,3403
696,机动战士高达 雷霆宙域,7.6,494
697,小红帽恰恰,7.7,99
698,双面骑士,7.6,275
699,科拉传奇 第三季：易,7.7,83
700,魔卡少女樱 香港之旅,7.6,951
